date,time,count,bin,Location (recode),Location-id (recode)
27,16:26:18,17,99,SIS B1 IS Lounge,SISB1
27,16:28:21,16,99,SIS B1 IS Lounge,SISB1
27,16:30:25,16,100,SIS B1 IS Lounge,SISB1
27,16:32:29,19,100,SIS B1 IS Lounge,SISB1
27,16:34:33,14,100,SIS B1 IS Lounge,SISB1
27,16:36:37,7,100,SIS B1 IS Lounge,SISB1
27,16:36:38,9,100,SIS B1 IS Lounge,SISB1
27,16:38:41,20,100,SIS B1 IS Lounge,SISB1
27,16:40:45,11,101,SIS B1 IS Lounge,SISB1
27,16:42:49,12,101,SIS B1 IS Lounge,SISB1
27,16:44:52,6,101,SIS B1 IS Lounge,SISB1
27,16:44:53,4,101,SIS B1 IS Lounge,SISB1
27,16:46:57,11,101,SIS B1 IS Lounge,SISB1
27,16:49:01,17,101,SIS B1 IS Lounge,SISB1
27,16:51:04,13,102,SIS B1 IS Lounge,SISB1
27,16:53:08,3,102,SIS B1 IS Lounge,SISB1
27,16:53:09,13,102,SIS B1 IS Lounge,SISB1
27,16:55:12,7,102,SIS B1 IS Lounge,SISB1
27,16:55:13,7,102,SIS B1 IS Lounge,SISB1
27,16:57:16,1,102,SIS B1 IS Lounge,SISB1
27,16:57:17,11,102,SIS B1 IS Lounge,SISB1
27,16:59:20,2,102,SIS B1 IS Lounge,SISB1
27,16:59:21,12,102,SIS B1 IS Lounge,SISB1
27,17:01:25,14,103,SIS B1 IS Lounge,SISB1
27,17:03:29,14,103,SIS B1 IS Lounge,SISB1
27,17:05:33,16,103,SIS B1 IS Lounge,SISB1
27,17:07:37,20,103,SIS B1 IS Lounge,SISB1
27,17:09:40,1,103,SIS B1 IS Lounge,SISB1
27,17:09:41,13,103,SIS B1 IS Lounge,SISB1
27,17:11:45,11,104,SIS B1 IS Lounge,SISB1
27,17:13:49,11,104,SIS B1 IS Lounge,SISB1
27,17:15:53,12,104,SIS B1 IS Lounge,SISB1
27,17:17:58,11,104,SIS B1 IS Lounge,SISB1
27,17:20:01,1,105,SIS B1 IS Lounge,SISB1
27,17:20:02,14,105,SIS B1 IS Lounge,SISB1
27,17:22:06,11,105,SIS B1 IS Lounge,SISB1
27,17:24:10,11,105,SIS B1 IS Lounge,SISB1
27,17:26:14,3,105,SIS B1 IS Lounge,SISB1
27,17:26:15,5,105,SIS B1 IS Lounge,SISB1
27,17:28:18,15,105,SIS B1 IS Lounge,SISB1
27,17:30:22,1,106,SIS B1 IS Lounge,SISB1
27,17:30:23,10,106,SIS B1 IS Lounge,SISB1
27,17:32:26,1,106,SIS B1 IS Lounge,SISB1
27,17:32:28,8,106,SIS B1 IS Lounge,SISB1
27,17:34:31,13,106,SIS B1 IS Lounge,SISB1
27,17:36:35,1,106,SIS B1 IS Lounge,SISB1
27,17:36:36,9,106,SIS B1 IS Lounge,SISB1
27,17:38:40,11,106,SIS B1 IS Lounge,SISB1
27,17:40:44,1,107,SIS B1 IS Lounge,SISB1
27,17:40:46,8,107,SIS B1 IS Lounge,SISB1
27,17:42:49,10,107,SIS B1 IS Lounge,SISB1
27,17:44:53,8,107,SIS B1 IS Lounge,SISB1
27,17:46:58,9,107,SIS B1 IS Lounge,SISB1
27,17:49:02,12,107,SIS B1 IS Lounge,SISB1
27,17:51:07,10,108,SIS B1 IS Lounge,SISB1
27,17:53:13,5,108,SIS B1 IS Lounge,SISB1
27,17:53:14,8,108,SIS B1 IS Lounge,SISB1
27,17:55:16,4,108,SIS B1 IS Lounge,SISB1
27,17:55:17,6,108,SIS B1 IS Lounge,SISB1
27,17:57:20,11,108,SIS B1 IS Lounge,SISB1
27,17:59:24,1,108,SIS B1 IS Lounge,SISB1
27,17:59:25,10,108,SIS B1 IS Lounge,SISB1
27,18:01:29,11,109,SIS B1 IS Lounge,SISB1
27,18:03:33,10,109,SIS B1 IS Lounge,SISB1
27,18:03:34,2,109,SIS B1 IS Lounge,SISB1
27,18:05:38,7,109,SIS B1 IS Lounge,SISB1
27,18:07:42,5,109,SIS B1 IS Lounge,SISB1
27,18:09:47,13,109,SIS B1 IS Lounge,SISB1
27,18:11:51,2,110,SIS B1 IS Lounge,SISB1
27,18:11:52,9,110,SIS B1 IS Lounge,SISB1
27,18:13:56,8,110,SIS B1 IS Lounge,SISB1
27,18:16:01,11,110,SIS B1 IS Lounge,SISB1
27,18:18:05,14,110,SIS B1 IS Lounge,SISB1
27,18:20:11,11,111,SIS B1 IS Lounge,SISB1
27,18:22:16,9,111,SIS B1 IS Lounge,SISB1
27,18:24:21,6,111,SIS B1 IS Lounge,SISB1
27,18:26:25,7,111,SIS B1 IS Lounge,SISB1
27,18:28:30,9,111,SIS B1 IS Lounge,SISB1
27,18:30:34,4,112,SIS B1 IS Lounge,SISB1
27,18:30:35,6,112,SIS B1 IS Lounge,SISB1
27,18:32:39,6,112,SIS B1 IS Lounge,SISB1
27,18:34:43,1,112,SIS B1 IS Lounge,SISB1
27,18:34:44,5,112,SIS B1 IS Lounge,SISB1
27,18:36:48,3,112,SIS B1 IS Lounge,SISB1
27,18:36:49,4,112,SIS B1 IS Lounge,SISB1
27,18:38:53,7,112,SIS B1 IS Lounge,SISB1
27,18:40:58,5,113,SIS B1 IS Lounge,SISB1
27,18:43:03,6,113,SIS B1 IS Lounge,SISB1
27,18:45:08,5,113,SIS B1 IS Lounge,SISB1
27,18:47:13,13,113,SIS B1 IS Lounge,SISB1
27,18:49:17,2,113,SIS B1 IS Lounge,SISB1
27,18:49:18,10,113,SIS B1 IS Lounge,SISB1
27,18:51:22,14,114,SIS B1 IS Lounge,SISB1
27,18:53:27,13,114,SIS B1 IS Lounge,SISB1
27,18:55:31,3,114,SIS B1 IS Lounge,SISB1
27,18:55:32,15,114,SIS B1 IS Lounge,SISB1
27,18:57:37,11,114,SIS B1 IS Lounge,SISB1
27,18:59:42,10,114,SIS B1 IS Lounge,SISB1
27,19:01:47,10,115,SIS B1 IS Lounge,SISB1
27,19:01:48,4,115,SIS B1 IS Lounge,SISB1
